1084,1421,1026,1973
696,1384,317,1066
969,682,1124,527
1579,194,1889,1339
1384,863,1372,1588
702,325,99,1427
1127,1969,1375,1895
961,1488,1756,785
949,336,1291,1418
780,692,776,1019
1233,76,1776,278
189,731,707,271
1992,743,1515,559
1402,628,1359,1933
1780,196,1704,1823
256,1581,1076,1731
164,875,1718,807
1149,1888,1540,1503
786,566,1401,287
842,1473,1695,1055
874,1312,412,383
464,119,627,662
1746,1905,1379,1321
1253,736,821,1180
1087,1014,1995,463
1374,1308,1055,18
1941,123,5,1230
882,816,271,1112
765,379,1330,109
1346,1809,963,1613
1942,1133,544,1763
1611,513,195,770
40,1239,1121,98
1059,287,943,241
922,11,280,355
1643,62,874,1559
345,817,1373,1053
1286,481,931,377
639,1701,859,1241
1168,658,231,1442
1698,1048,1052,573
1437,1012,8,1853
581,118,1931,1008
1214,1818,509,766
1256,1680,1132,1847
1850,883,649,450
1159,1580,211,1708
1585,1481,721,5
430,1062,224,1908
1184,1562,1370,687
1318,1264,1220,854
1091,387,571,1716
9,1898,1929,261
1938,1759,446,1576
798,1148,1761,1044
1472,704,107,660
117,44,787,392
979,1372,279,1107
167,110,641,1424
1973,1063,186,1082
1278,566,776,1421
1854,1063,704,798
1614,344,1956,1505
311,789,1484,582
766,1469,219,470
384,1021,92,1193
1846,1689,913,264
497,1848,570,122
759,1436,1768,1727
1446,570,1394,168
495,1210,1083,1450
796,1411,18,1506
1589,1212,2,889
1648,1689,1029,154
681,1001,269,1863
632,651,921,111
247,500,1722,911
660,723,1456,1347
1465,1267,1581,1594
662,210,644,1787
847,184,970,958
756,533,1208,1998
223,441,1851,1751
649,142,1725,1033
225,1222,1186,1735
1393,462,1907,599
1574,877,309,1498
1112,1282,1293,1935
686,1375,200,477
1300,226,540,1282
50,297,625,815
1882,455,1072,837
728,715,1005,1002
811,1925,422,409
721,1484,1908,297
1683,1501,1031,1424
945,1141,949,1722
837,1702,103,121
732,1217,1616,1872
1649,778,1985,847
803,839,101,1830
1068,1638,53,906
393,1896,1312,1148
1014,1387,1506,1878
1104,160,805,392
1653,343,519,71
1634,1139,1704,1771
436,1430,344,354
1476,1744,495,159
1494,952,608,1621
1513,1472,1291,707
1712,946,1453,685
1215,459,749,593
1764,529,155,885
1924,860,1797,1345
1485,586,1660,1091
1950,864,251,1800
485,496,1918,1064
1693,1934,1892,744
1187,1770,1926,1461
75,1298,1482,1536
1739,1360,881,693
93,625,1309,940
826,765,1603,1817
1274,1470,1915,1313
113,127,1288,1005
1992,1953,367,132
716,1891,760,594
494,678,283,1555
1412,805,1623,903
1852,1216,1303,184
1109,76,695,102
143,1981,850,618
666,1795,1354,471
299,1832,717,587
404,1398,1260,1209
794,1079,1574,1867
986,1751,1515,1878
566,1466,1675,1571
1943,1329,1587,612
1126,83,878,1555
1947,79,874,1725
439,1210,1785,1948
436,1911,150,1648
1712,1969,427,266
1150,1950,1790,1526
159,319,513,775
1566,350,1880,86
794,1975,1498,533
99,206,608,763
1978,1615,1300,1937
1908,87,1801,341
1442,781,1247,1522
1557,365,1391,1233
242,1435,1405,191
1181,1206,1593,78
1765,1,1658,36
392,1958,601,1379
95,1442,1362,760
1493,854,1561,1877
1593,291,1531,1781
